serialno,rac1p,lanp,anc1p
2023GQ0000040,9,0.0,51
2023GQ0000061,1,1200.0,211
2023GQ0000071,1,0.0,22
2023GQ0000104,8,1200.0,210
2023GQ0000112,1,1200.0,210
2023GQ0000127,1,0.0,924
2023GQ0000137,1,0.0,999
2023GQ0000167,1,0.0,210
2023GQ0000195,9,0.0,50
2023GQ0000201,9,0.0,22
2023GQ0000207,1,0.0,999
2023GQ0000212,9,0.0,210
2023GQ0000232,1,0.0,999
2023GQ0000244,2,0.0,902
2023GQ0000255,1,0.0,999
2023GQ0000267,2,1200.0,902
2023GQ0000268,9,1200.0,210
2023GQ0000281,1,0.0,50
2023GQ0000320,1,0.0,999
2023GQ0000324,8,1200.0,210
2023GQ0000337,1,0.0,111
2023GQ0000354,1,0.0,924
2023GQ0000363,1,0.0,82
2023GQ0000423,2,0.0,902
2023GQ0000426,1,0.0,999
2023GQ0000441,1,0.0,84
2023GQ0000460,1,4500.0,999
2023GQ0000494,1,0.0,924
2023GQ0000511,1,0.0,999
2023GQ0000518,9,1200.0,210
2023GQ0000526,1,0.0,50
2023GQ0000530,1,0.0,924
2023GQ0000532,1,0.0,32
2023GQ0000534,1,0.0,999
2023GQ0000538,1,0.0,22
2023GQ0000554,9,0.0,210
2023GQ0000564,9,0.0,215
2023GQ0000659,1,0.0,999
2023GQ0000672,2,0.0,902
2023GQ0000683,9,1200.0,261
2023GQ0000689,1,0.0,999
2023GQ0000693,1,0.0,50
2023GQ0000707,8,1200.0,211
2023GQ0000708,1,0.0,114
2023GQ0000712,1,0.0,999
2023GQ0000745,1,0.0,32
2023GQ0000748,8,0.0,999
2023GQ0000755,1,0.0,999
2023GQ0000770,2,0.0,902
2023GQ0000773,9,1200.0,223
2023GQ0000782,1,0.0,82
2023GQ0000791,2,0.0,999
2023GQ0000794,1,0.0,999
2023GQ0000806,2,1200.0,902
2023GQ0000834,2,0.0,939
2023GQ0000839,9,0.0,290
2023GQ0000844,1,1200.0,999
2023GQ0000869,2,0.0,902
2023GQ0000891,9,0.0,211
2023GQ0000894,1,0.0,924
2023GQ0000898,1,0.0,999
2023GQ0000927,1,0.0,924
2023GQ0000946,9,1200.0,210
2023GQ0000959,9,1200.0,223
2023GQ0000964,1,0.0,924
2023GQ0000966,1,0.0,999
2023GQ0001015,1,0.0,51
2023GQ0001017,9,1200.0,211
2023GQ0001027,2,0.0,999
2023GQ0001059,1,0.0,999
2023GQ0001071,1,0.0,50
2023GQ0001074,1,0.0,924
2023GQ0001144,9,1200.0,210
2023GQ0001149,1,0.0,999
2023GQ0001158,1,0.0,22
2023GQ0001178,1,1200.0,999
2023GQ0001196,1,0.0,290
2023GQ0001201,9,1200.0,291
2023GQ0001213,1,1200.0,211
2023GQ0001259,2,0.0,902
2023GQ0001282,9,1200.0,261
2023GQ0001302,9,0.0,210
2023GQ0001309,2,0.0,999
2023GQ0001313,1,0.0,26
2023GQ0001350,2,0.0,903
2023GQ0001356,1,0.0,114
2023GQ0001383,8,1200.0,211
2023GQ0001385,9,1200.0,902
2023GQ0001406,8,1200.0,210
2023GQ0001434,1,0.0,999
2023GQ0001445,1,1200.0,210
2023GQ0001453,9,0.0,46
2023GQ0001458,2,0.0,999
2023GQ0001489,9,1200.0,211
2023GQ0001491,1,0.0,999
2023GQ0001509,1,0.0,999
2023GQ0001513,9,0.0,919
2023GQ0001525,1,0.0,50
2023GQ0001551,2,0.0,902
2023GQ0001592,1,0.0,26
2023GQ0001595,1,0.0,210
2023GQ0001613,1,0.0,924
2023GQ0001641,9,1200.0,290
2023GQ0001691,1,0.0,32
2023GQ0001716,1,1200.0,999
2023GQ0001724,1,1200.0,999
2023GQ0001733,1,0.0,87
2023GQ0001760,2,0.0,902
2023GQ0001763,1,1200.0,999
